,id,rr,rg,rb,rc,value
0,N1,125,175,169,517,72.0
1,N2,168,204,186,612,90.2
2,N3,116,169,165,499,62.4
3,N5,118,171,167,506,56.9
4,N6,131,180,172,532,66.5
5,N7,151,193,179,575,76.8
6,N8,168,204,186,611,87.3
7,N9,176,209,187,626,98.8
8,N10,201,225,196,678,104.0
9,X10,146,192,180,569,73.9
10,X11,177,208,187,626,64.5
11,X12,125,178,172,524,59.3
12,R1,207,230,200,693,108.2
13,R1,207,230,200,693,105.4
14,R4,167,202,183,605,93.9
15,R5,158,196,180,587,85.5
16,R6,160,198,182,592,83.7
17,B3,163,198,180,594,93.4
18,B5,161,196,180,589,87.1
19,B7,174,208,187,622,91.9
20,B8,172,204,184,613,94.2
